mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	Trill:trill
58	58	515/6	515/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	537							
58	58	86	86	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	538							
58	58	517/6	517/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	539							
58	58	259/3	259/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	540							
58	58	173/2	173/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	541							
58	58	260/3	260/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	542							
58	58	521/6	521/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	543							
59	59	87	87	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	544							
59	59	523/6	523/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	545							
59	59	262/3	262/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	546							
59	59	175/2	175/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	547							
59	59	263/3	263/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	548							
59	59	527/6	527/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	549							
59	59	88	88	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	550							
59	59	529/6	529/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	551							
59	59	265/3	265/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	552							
59	59	87	87	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	553							
59	59	88	88	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	554							
60	60	177/2	177/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	555							
60	60	266/3	266/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	556							
60	60	533/6	533/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	557							
60	60	89	89	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	558							
60	60	535/6	535/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	559							
60	60	268/3	268/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	560							
60	60	179/2	179/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	561							
60	60	269/3	269/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	562							
60	60	539/6	539/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	563							
60	60	177/2	177/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	564							
60	60	179/2	179/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	565							
61	61	90	90	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	566							
61	61	541/6	541/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	567							
61	61	271/3	271/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	568							
61	61	181/2	181/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	569							
61	61	272/3	272/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	570							
61	61	545/6	545/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	571							
61	61	91	91	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	572							
61	61	547/6	547/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	573							
61	61	274/3	274/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	574							
61	61	90	90	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	575							
61	61	181/2	181/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	576							
61	61	91	91	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	577							
61	61	90	90	1.5	0	0	Chord	3/8	2	2	3/8		1/4	3/2	578							
62	62	183/2	183/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	579							
62	62	275/3	275/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	580							
62	62	551/6	551/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	581							
62	62	92	92	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	582							
62	62	553/6	553/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	583							
62	62	277/3	277/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	584							
62	62	185/2	185/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	585							
62	62	278/3	278/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	586							
62	62	557/6	557/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	587							
62	62	183/2	183/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	588							
62	62	183/2	183/2	1.0	0	0	Chord	3/8	2	2	1/4		1/4	1	589							
63	63	93	93	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	590							
63	63	559/6	559/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	591							
63	63	280/3	280/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	592							
63	63	187/2	187/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	593							
63	63	281/3	281/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	594							
63	63	563/6	563/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	595							
63	63	94	94	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	596							
63	63	565/6	565/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	597							
63	63	283/3	283/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	598							
63	63	93	93	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	599							
63	63	187/2	187/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	600							
63	63	94	94	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	601							
64	64	189/2	189/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	602							
64	64	284/3	284/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	603							
64	64	569/6	569/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	604							
64	64	95	95	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	605							
64	64	571/6	571/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	606							
64	64	286/3	286/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	607							
64	64	191/2	191/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	608							
64	64	287/3	287/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	609							
64	64	575/6	575/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	610							
64	64	189/2	189/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	611							
64	64	95	95	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	612							
64	64	191/2	191/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	613							
65	65	96	96	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	614							
65	65	577/6	577/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	615							
65	65	289/3	289/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	616							
65	65	193/2	193/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	617							
65	65	290/3	290/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	618							
65	65	581/6	581/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	619							
65	65	96	96	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	620							
65	65	97	97	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	621							
65	65	583/6	583/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	622							
65	65	292/3	292/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	623							
66	66	195/2	195/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	624							
66	66	195/2	195/2	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	625							
66	66	293/3	293/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	626							
66	66	587/6	587/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	627							
66	66	98	98	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	628							
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	629							
66	66	195/2	195/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	630							
66	66	98	98	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	631							
66	66	197/2	197/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	632							
67	67	99	99	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	633							
67	67	99	99	0.16666666666666666	0	0	Chord	3/8	1	2	1/24		1/16	2/3	634							
67	67	595/6	595/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	2	1/24		1/16	2/3	635							
67	67	298/3	298/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	2	1/24		1/16	2/3	636							
67	67	199/2	199/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	637							
67	67	100	100	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	638							
67	67	99	99	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	639							
67	67	595/6	595/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	640							
67	67	298/3	298/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	641							
67	67	199/2	199/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	642							
67	67	100	100	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	643							
68	68	201/2	201/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	644							
68	68	101	101	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	645							
68	68	201/2	201/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	646							
68	68	203/2	203/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	647							
68	68	201/2	201/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	648							
68	68	101	101	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	649							
68	68	203/2	203/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	650							
69	69	102	102	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	651							
69	69	409/4	409/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	652							
69	69	205/2	205/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	653							
69	69	411/4	411/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	654							
69	69	103	103	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	655							
69	69	413/4	413/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	656							
69	69	102	102	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	657							
69	69	102	102	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	658							
70	70	207/2	207/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	659							
70	70	209/2	209/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	660							
70	70	104	104	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	661							
70	70	209/2	209/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	662							
70	70	207/2	207/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	663							
70	70	209/2	209/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	664							
71	71	105	105	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	665							
71	71	421/4	421/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	666							
71	71	211/2	211/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	667							
71	71	423/4	423/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	668							
71	71	106	106	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	669							
71	71	425/4	425/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	670							
71	71	105	105	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	671							
71	71	106	106	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	672							
71	71	105	105	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	673							
71	71	211/2	211/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	674							
71	71	106	106	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	675							
72	72	213/2	213/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	676							
72	72	215/2	215/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	677							
72	72	107	107	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	678							
72	72	215/2	215/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	679							
72	72	213/2	213/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	680							
72	72	215/2	215/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	681							
73	73	108	108	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	682							
73	73	109	109	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	683							
73	73	108	108	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	684							
73	73	433/4	433/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16		1/16	1	685							
73	73	217/2	217/2	0.25	1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	686							
73	73	435/4	435/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	687							
73	73	109	109	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	688							
73	73	437/4	437/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	689							
73	73	108	108	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	690							
73	73	217/2	217/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	691							
73	73	109	109	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	692							
74	74	219/2	219/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	693							
74	74	110	110	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	694							
74	74	221/2	221/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	695							
74	74	219/2	219/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	696							
74	74	221/2	221/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	697							
74	74	219/2	219/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	698							
74	74	110	110	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	699							
74	74	221/2	221/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	700							
75	75	111	111	0.75	0	0	Chord	3/8	1	1	3/16		1/8	3/2	701							
75	75	447/4	447/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	702							
75	75	112	112	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	703							
75	75	111	111	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	704							
75	75	223/2	223/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	705							
75	75	112	112	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	706							
75	75	111	111	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	707							
75	75	223/2	223/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	708							
75	75	112	112	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	709							
76	76	225/2	225/2	0.0	0	0	Chord	3/8	1	1	0	grace16	1/16	1	710							
76	76	225/2	225/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	711							
76	76	113	113	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	712							
76	76	227/2	227/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	713							
76	76	225/2	225/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	714							
76	76	113	113	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	715							
76	76	227/2	227/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	716							
77	77	114	114	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	717							
77	77	114	114	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	718							
77	77	114	114	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	719							
77	77	229/2	229/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	720							
77	77	115	115	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	721							
78	78	231/2	231/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	722							
78	78	347/3	347/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	723							
78	78	695/6	695/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	724							
78	78	116	116	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	725							
78	78	697/6	697/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	726							
78	78	349/3	349/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	727							
78	78	233/2	233/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	728							
78	78	350/3	350/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	729							
78	78	701/6	701/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	730							
78	78	231/2	231/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	731							
79	79	117	117	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	732							
79	79	703/6	703/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	733							
79	79	352/3	352/3	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	734							
79	79	235/2	235/2	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	735							
79	79	353/3	353/3	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	736							
79	79	707/6	707/6	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	737							
79	79	118	118	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	738							
79	79	709/6	709/6	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	739							
79	79	355/3	355/3	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	740							
80	80	237/2	237/2	0.0	0	0	Spanner	3/8	1	1	0											1
80	80	237/2	237/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	741							1
80	80	237/2	237/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	742							
80	80	356/3	356/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	743							
80	80	713/6	713/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	744							
80	80	119	119	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	745							
80	80	715/6	715/6	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	746							
80	80	358/3	358/3	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	747							
80	80	239/2	239/2	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	748							
80	80	359/3	359/3	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	749							
80	80	719/6	719/6	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	750							
81	81	120	120	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	751							1
81	81	120	120	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	752							
81	81	721/6	721/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	753							
81	81	361/3	361/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	754							
81	81	241/2	241/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	755							
81	81	362/3	362/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	756							
81	81	725/6	725/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	757							
81	81	121	121	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	758							
81	81	727/6	727/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	759							
81	81	364/3	364/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	760							
82	82	243/2	243/2	0.0	0	0	Spanner	3/8	1	1	0											
82	82	243/2	243/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	761							
82	82	365/3	365/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	762							
82	82	731/6	731/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	763							
82	82	122	122	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	764							
82	82	733/6	733/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	765							
82	82	367/3	367/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	766							
82	82	245/2	245/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	767							
82	82	368/3	368/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	768							
82	82	737/6	737/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	769							
82	82	243/2	243/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	770							
83	83	123	123	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	771							
83	83	123	123	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	772							
83	83	739/6	739/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	773							
83	83	370/3	370/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	774							
83	83	247/2	247/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	775							
83	83	371/3	371/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	776							
83	83	743/6	743/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	777							
83	83	124	124	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	778							
83	83	745/6	745/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	779							
83	83	373/3	373/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	780							
84	84	249/2	249/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24		1/16	2/3	781							
84	84	374/3	374/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24		1/16	2/3	782							
84	84	749/6	749/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24		1/16	2/3	783							
84	84	125	125	0.16666666666666666	1/8	1/8	Chord	3/8	1	1	1/24		1/16	2/3	784							
84	84	751/6	751/6	0.16666666666666666	1/6	1/6	Chord	3/8	1	1	1/24		1/16	2/3	785							
84	84	376/3	376/3	0.16666666666666666	5/24	5/24	Chord	3/8	1	1	1/24		1/16	2/3	786							
84	84	251/2	251/2	0.16666666666666666	1/4	1/4	Chord	3/8	1	1	1/24		1/16	2/3	787							
84	84	377/3	377/3	0.16666666666666666	7/24	7/24	Chord	3/8	1	1	1/24		1/16	2/3	788							
84	84	755/6	755/6	0.16666666666666666	1/3	1/3	Chord	3/8	1	1	1/24		1/16	2/3	789							
84	84	249/2	249/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	790							
85	85	126	126	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	791							
85	85	126	126	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	792							
85	85	757/6	757/6	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	793							
85	85	379/3	379/3	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	794							
85	85	253/2	253/2	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	795							
85	85	380/3	380/3	0.16666666666666666	1/6	1/6	Chord	3/8	2	1	1/24		1/16	2/3	796							
85	85	761/6	761/6	0.16666666666666666	5/24	5/24	Chord	3/8	2	1	1/24		1/16	2/3	797							
85	85	127	127	0.16666666666666666	1/4	1/4	Chord	3/8	2	1	1/24		1/16	2/3	798							
85	85	763/6	763/6	0.16666666666666666	7/24	7/24	Chord	3/8	2	1	1/24		1/16	2/3	799							
85	85	382/3	382/3	0.16666666666666666	1/3	1/3	Chord	3/8	2	1	1/24		1/16	2/3	800							
86	86	255/2	255/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	801							
86	86	128	128	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	802							
86	86	257/2	257/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	803							
86	86	255/2	255/2	0.16666666666666666	0	0	Chord	3/8	2	1	1/24		1/16	2/3	804							
86	86	383/3	383/3	0.16666666666666666	1/24	1/24	Chord	3/8	2	1	1/24		1/16	2/3	805							
86	86	767/6	767/6	0.16666666666666666	1/12	1/12	Chord	3/8	2	1	1/24		1/16	2/3	806							
86	86	128	128	0.16666666666666666	1/8	1/8	Chord	3/8	2	1	1/24		1/16	2/3	807							
