mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Vibrato:guitarVibratoWide
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	155									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	156									
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	157									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	158									
10	10	27	27	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	159									
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	160									
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	161									
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	162									
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	163									
10	10	27	27	0.25	0	0	Chord	3/4	2	1	1/16		1/16	1	164									
10	10	109/4	109/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	165									
10	10	55/2	55/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	166									
10	10	111/4	111/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	167									
10	10	28	28	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	168									
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	169									
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	170									
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	171									
10	10	29	29	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	172									
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	173									
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	174									
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	175									
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	176									
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	177	ornamentTrill								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	178									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	179									
11	11	30	30	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	180									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	181									
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	182									
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16		1/16	1	183									
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	184									
11	11	123/4	123/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	185									
11	11	31	31	0.25	1/4	1/4	Chord	3/4	2	1	1/16		1/16	1	186									
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	187									
11	11	63/2	63/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	188									
11	11	127/4	127/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	189									
11	11	32	32	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	190									
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	191									
11	11	65/2	65/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	192									
11	11	131/4	131/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	193									
12	12	33	33	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	194									
12	12	133/4	133/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	195									
12	12	67/2	67/2	0.0	1/8	1/8	Chord	3/4	1	1	0	appoggiatura	1/8	1	196									
12	12	67/2	67/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	197									
12	12	135/4	135/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	198									
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	199									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	200									
12	12	33	33	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	201									
12	12	34	34	0.25	1/4	1/4	Chord	3/4	1	2	1/16		1/16	1	202									
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16		1/16	1	203									
12	12	69/2	69/2	0.0	3/8	3/8	Chord	3/4	1	2	0	appoggiatura	1/8	1	204									
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16		1/16	1	205									
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16		1/16	1	206									
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	207									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	208									
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	209									
12	12	35	35	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	210									
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	211									
12	12	71/2	71/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	212									
12	12	143/4	143/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	213									
13	13	36	36	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	214									
13	13	145/4	145/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	215									
13	13	73/2	73/2	0.0	1/8	1/8	Chord	3/4	1	1	0	appoggiatura	1/8	1	216									
13	13	73/2	73/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	217									
13	13	147/4	147/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	218									
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	219									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	220									
13	13	36	36	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	221									
13	13	37	37	0.25	1/4	1/4	Chord	3/4	1	2	1/16		1/16	1	222									
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16		1/16	1	223									
13	13	75/2	75/2	0.0	3/8	3/8	Chord	3/4	1	2	0	appoggiatura	1/8	1	224									
13	13	75/2	75/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16		1/16	1	225									
13	13	151/4	151/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16		1/16	1	226									
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	227									
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	228									
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	229									
13	13	38	38	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	230									
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	231									
13	13	77/2	77/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	232									
13	13	155/4	155/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	233									
14	14	39	39	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	234									
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	235									
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	236									
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	237									
14	14	40	40	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	238									
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	239									
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	240									
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	241									
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	242									
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	243									
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	244									
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	245									
14	14	39	39	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	246									
14	14	40	40	0.25	1/4	1/4	Chord	3/4	1	2	1/16		1/16	1	247									
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16		1/16	1	248									
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	1	2	1/16		1/16	1	249									
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	2	1/16		1/16	1	250									
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	2	1/16		1/16	1	251									
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16		1/16	1	252									
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	253									
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	254									
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	255									
14	14	41	41	0.25	1/2	1/2	Chord	3/4	2	1	1/16		1/16	1	256									
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16		1/16	1	257									
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	258									
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	259									
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	260									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	261	ornamentTrill								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	262									
15	15	42	42	0.25	0	0	Chord	3/4	1	2	1/16		1/16	1	263									
15	15	169/4	169/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16		1/16	1	264									
15	15	85/2	85/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16		1/16	1	265									
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16		1/16	1	266									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	267									
15	15	44	44	0.25	1/2	1/2	Chord	3/4	1	2	1/16		1/16	1	268									
15	15	177/4	177/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16		1/16	1	269									
15	15	89/2	89/2	0.25	5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	270									
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	271									
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	272									
15	15	173/4	173/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16		1/16	1	273									
15	15	87/2	87/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16		1/16	1	274									
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	275									
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	276									
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	277									
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	278									
